sample_id,label,fold,nearest_centroid,endpoint_adj_margin,generic_centroid_margin,a_l1,c_l1,a_predictive_mean,c_predictive_mean,a_inward_shrinkage,c_inward_shrinkage
1577836800000000000,0,-1,0,-5.156715393066406,7.42819881439209,0,0,0.019625063840242738,0.045034313895468796,3.980374936159757,3.954965686104531
1577840400000000000,0,-1,0,-5.152381896972656,7.358674049377441,0,0,0.019040192728220412,0.043777650854861384,3.9809598072717796,3.9562223491451385
1577844000000000000,0,-1,0,-5.157958984375,7.390221118927002,0,0,0.019792002396495707,0.04438011858633122,3.9802079976035043,3.9556198814136687
1577847600000000000,0,-1,0,-5.204126358032227,7.229987144470215,0,0,0.02904949800453466,0.06712517438081342,3.9709505019954654,3.9328748256191868
1577851200000000000,0,-1,0,-5.195030212402344,6.98239803314209,0,0,0.029930095342173495,0.06624377771699773,3.9700699046578265,3.9337562222830025
1577854800000000000,0,-1,0,-5.163545608520508,7.2024617195129395,0,0,0.02263180380959977,0.04990607093741032,3.9773681961904,3.95009392906259
1577858400000000000,0,-1,0,-5.188896179199219,7.203718662261963,0,0,0.02636320606494659,0.05856647398223911,3.973636793935053,3.941433526017761
1577862000000000000,0,-1,0,-5.181253433227539,7.3070502281188965,0,0,0.0233411501365614,0.05181786447898666,3.9766588498634388,3.948182135521013
1577865600000000000,0,-1,0,-5.183082580566406,7.312809944152832,0,0,0.02436408772860529,0.05473143642316986,3.975635912271395,3.94526856357683
1577869200000000000,0,-1,0,-5.1931915283203125,7.338465213775635,0,0,0.024221642254714983,0.057855006841834374,3.975778357745285,3.942144993158166
1577872800000000000,0,-1,0,-5.145023345947266,7.361079216003418,0,0,0.01837222975168859,0.04105393314133984,3.9816277702483114,3.95894606685866
1577876400000000000,0,-1,0,-5.157255172729492,7.306041240692139,0,0,0.01995600272058842,0.0445366659870499,3.9800439972794117,3.95546333401295
1577880000000000000,0,-1,0,-5.227354049682617,7.365283966064453,0,0,0.03215003399260628,0.07854989617017791,3.967849966007394,3.921450103829822
1577883600000000000,0,-1,0,-5.194583892822266,7.363885402679443,0,0,0.02623024190053367,0.06131308537844988,3.973769758099466,3.93868691462155
