epoch,balanced_ce
1,0.647909948813983
2,0.6318976488811049
3,0.6302539094943892
4,0.630039679098197
5,0.6280467584729195
6,0.6243556777692654
7,0.628648851278492
8,0.6240200004117056
9,0.6262446692721411
10,0.6212692490186204
11,0.6234046094204214
12,0.6241554835472595
13,0.6225119142962451
14,0.6268011337484826
15,0.6188907591541383
16,0.6125933389518071
17,0.6226699227382514
18,0.6230579553256658
19,0.6258589103394612
20,0.6223584610799496
21,0.6144887172955681
22,0.621261535085399
23,0.6248158658854663
24,0.6252235946330157
25,0.6306001036851243
26,0.6216070813296194
27,0.6187096990390935
28,0.6268605621192943
29,0.6246199473654005
30,0.6258948941461064
31,0.6266372807916593
32,0.6242990777404471
33,0.6167944192209027
34,0.6231665937653319
35,0.6202548587356101
36,0.6252898458730091
37,0.6226234559647061
38,0.6242498470978304
39,0.6217603243633427
40,0.6220013088631359
41,0.621343335475434
42,0.6180970811031081
43,0.6225800169631839
44,0.6203537999059666
45,0.6274654766629365
46,0.6142706636508758
47,0.6123647580600597
48,0.6227363187565722
49,0.6254980247891084
50,0.6283502710390497
51,0.6171982639299874
52,0.6170291687277231
53,0.6177707080390643
54,0.6184342934072695
55,0.616188846020536
56,0.6228040482171557
57,0.6191519968719645
58,0.6163657081990757
59,0.6241655880585313
60,0.6173862965608184
61,0.6236597398634661
62,0.6240503802387551
63,0.6219123886390165
64,0.6234587717970664
65,0.6190635261803188
66,0.618302296593108
67,0.6158514706079256
68,0.6271610674871639
69,0.616412603973665
70,0.6237337264571
71,0.6256382135589692
72,0.6175675652497872
73,0.6188469016077843
74,0.6210507580333136
75,0.6220747544430196
76,0.6179591919380155
77,0.6191125942224806
78,0.6261171120303598
79,0.6271497598764572
80,0.6202725034884431
81,0.6170508050021123
82,0.6210237703370777
83,0.6253442441282625
84,0.6158871337856081
85,0.6178480876525018
86,0.6185923002829606
87,0.6196696410717611
88,0.6179044582373039
89,0.621802219867029
90,0.6193826045756313
91,0.6190915751186284
92,0.6248689168979499
93,0.6225462490692735
94,0.6250513479621573
95,0.6199242719449103
96,0.6234435441226445
97,0.6175336961803789
98,0.6139323080212555
99,0.6198106568137353
100,0.6156001113863154
