sample_id,label,fold,nearest_centroid,endpoint_adj_margin,generic_centroid_margin,a_l1,c_l1,a_predictive_mean,c_predictive_mean,a_inward_shrinkage,c_inward_shrinkage
1577836800000000000,0,-1,0,-4.85882568359375,6.97455358505249,0,0,0.0695972949440268,0.022317349438193752,3.930402705055973,3.9776826505618064
1577840400000000000,0,-1,0,-4.86515998840332,6.9287567138671875,0,0,0.05262094416167839,0.016783175930872057,3.9473790558383217,3.983216824069128
1577844000000000000,0,-1,0,-4.907636642456055,6.887428283691406,0,0,0.0630205603159066,0.0217558171734414,3.9369794396840936,3.9782441828265585
1577847600000000000,0,-1,0,-4.887956619262695,6.913550853729248,0,0,0.06539600667546902,0.02095685317413914,3.934603993324531,3.9790431468258607
1577851200000000000,0,-1,0,-4.831697463989258,6.923300743103027,0,0,0.050280273126509296,0.014802878095870614,3.9497197268734907,3.9851971219041293
1577854800000000000,0,-1,0,-4.826393127441406,6.8587188720703125,0,0,0.04288886012192543,0.012506486318458406,3.9571111398780747,3.9874935136815415
1577858400000000000,0,-1,0,-4.880868911743164,6.920379638671875,0,0,0.06575892764792533,0.021463594392223565,3.9342410723520747,3.9785364056077763
1577862000000000000,0,-1,0,-4.928050994873047,6.902290344238281,0,0,0.07198784759663861,0.02571645356651179,3.9280121524033613,3.974283546433488
1577865600000000000,0,-1,0,-4.969446182250977,6.81411075592041,0,0,0.10324841803194738,0.04105746264850905,3.8967515819680525,3.958942537351491
1577869200000000000,0,-1,0,-4.881490707397461,6.925070762634277,0,0,0.06340751868599662,0.020408379683456313,3.9365924813140034,3.9795916203165436
1577872800000000000,0,-1,0,-4.904085159301758,6.858579635620117,0,0,0.06967136387761345,0.02492069242702965,3.9303286361223866,3.9750793075729702
1577876400000000000,0,-1,0,-4.952709197998047,6.760049819946289,0,0,0.08927860371013747,0.03413106500717117,3.9107213962898624,3.965868934992829
1577880000000000000,0,-1,0,-4.932470321655273,6.786067008972168,0,0,0.08237858675371407,0.02873839212349765,3.917621413246286,3.971261607876502
1577883600000000000,0,-1,0,-4.915622711181641,6.842589378356934,0,0,0.08605692405959858,0.0297217340319056,3.9139430759404013,3.970278265968094
1577887200000000000,0,-1,0,-4.963510513305664,6.7901411056518555,0,0,0.12056487071124779,0.04622391999057246,3.879435129288752,3.9537760800094275
1577890800000000000,0,-1,0,-4.967351913452148,6.782088279724121,0,0,0.13654259871382748,0.05291509496166799,3.8634574012861727,3.947084905038332
1577894400000000000,0,-1,0,-4.977327346801758,6.854897499084473,0,0,0.12711665854423748,0.054113655088517544,3.8728833414557626,3.9458863449114823
1577898000000000000,0,-1,0,-4.913665771484375,6.840415954589844,0,0,0.07395865989014196,0.02591966237705496,3.926041340109858,3.974080337622945
1577901600000000000,0,-1,0,-4.941537857055664,6.5949835777282715,0,0,0.09215496916869081,0.03677780221739117,3.907845030831309,3.963222197782609
1577908800000000000,0,-1,0,-4.994058609008789,6.677681922912598,0,0,0.13316839199424835,0.054886451350230764,3.866831608005752,3.9451135486497693
1577916000000000000,0,-1,0,-4.9496002197265625,6.8237433433532715,0,0,0.1071227011240763,0.03947759371250759,3.8928772988759235,3.960522406287492
1577919600000000000,0,-1,0,-4.98914909362793,6.7633161544799805,0,0,0.12935549399502225,0.054670452734590216,3.870644506004978,3.94532954726541
1577923200000000000,0,-1,0,-4.934123992919922,6.828518390655518,0,0,0.09919361071450734,0.0354051388847383,3.9008063892854925,3.9645948611152617
1577926800000000000,0,-1,0,-4.995510101318359,6.559690952301025,0,0,0.11962705833395905,0.05096545390476643,3.880372941666041,3.9490345460952336
1577930400000000000,0,-1,0,-4.927656173706055,6.825362205505371,0,0,0.08621250374456514,0.03167986558966051,3.9137874962554347,3.9683201344103396
1577934000000000000,0,-1,0,-4.935966491699219,6.8217926025390625,0,0,0.10209475491021316,0.038399012319066436,3.897905245089787,3.9616009876809337
1577937600000000000,0,-1,0,-5.027254104614258,6.489521026611328,0,0,0.17907565326273345,0.08118632213913464,3.8209243467372667,3.9188136778608653
1577941200000000000,0,-1,0,-4.962846755981445,6.6978654861450195,0,0,0.11610677835153205,0.04465055475870282,3.883893221648468,3.955349445241297
